,importance
lights,0.03249172944299025
T1,0.025397736283666747
RH_1,0.034690686622721616
T2,0.026332799176032925
RH_2,0.03861082116734781
T3,0.06446941311541748
RH_3,0.04974669310425749
T4,0.03060448743043377
RH_4,0.03075909036677715
T5,0.029777522290923873
RH_5,0.04394585156803502
T6,0.03065417199247936
T7,0.03193194663747779
RH_7,0.02947473479232282
T8,0.04272681342836688
RH_8,0.032945243663323937
T9,0.03171973071878377
RH_9,0.03377823839934205
T_out,0.028388879485453846
Press_mm_hg,0.04238814518181688
RH_out,0.03218507390680739
Windspeed,0.0271770896446393
Visibility,0.022752994753760258
Tdewpoint,0.03539766927423818
hour,0.0086544677060592
NSM,0.1629979698465242
